,player,season,team,salary
0,Álex Abrines,2016-17,Oklahoma City Thunder,5994764
1,Álex Abrines,2017-18,Oklahoma City Thunder,5725000
2,Álex Abrines,2018-19,Oklahoma City Thunder,3575183
3,Precious Achiuwa,2020-21,Miami Heat,2582160
4,Quincy Acy,2012-13,Toronto Raptors,665000
5,Quincy Acy,2013-14,Toronto Raptors,788872
6,Quincy Acy,2014-15,New York Knicks,915243
7,Quincy Acy,2015-16,Sacramento Kings,981348
8,Quincy Acy,2016-17,Brooklyn Nets,1914544
9,Quincy Acy,2016-17,Dallas Mavericks,1050961
10,Quincy Acy,2017-18,Brooklyn Nets,1709538
11,Quincy Acy,2018-19,Phoenix Suns,213948
12,Jaylen Adams,2018-19,Atlanta Hawks,236854
13,Jaylen Adams,2019-20,Portland Trail Blazers,163356
14,Jaylen Adams,2019-20,Atlanta Hawks,100000
15,Steven Adams,2013-14,Oklahoma City Thunder,2090880
16,Steven Adams,2014-15,Oklahoma City Thunder,2184960
17,Steven Adams,2015-16,Oklahoma City Thunder,2279040
18,Steven Adams,2016-17,Oklahoma City Thunder,3140517
19,Steven Adams,2017-18,Oklahoma City Thunder,22471910
20,Steven Adams,2018-19,Oklahoma City Thunder,24157304
21,Steven Adams,2019-20,Oklahoma City Thunder,25842697
22,Steven Adams,2020-21,New Orleans Pelicans,29592695
23,Bam Adebayo,2017-18,Miami Heat,2490360
24,Bam Adebayo,2018-19,Miami Heat,2955840
25,Bam Adebayo,2019-20,Miami Heat,3454080
26,Bam Adebayo,2020-21,Miami Heat,5115492
27,LaMarcus Aldridge,2006-07,Portland Trail Blazers,4027320
28,LaMarcus Aldridge,2007-08,Portland Trail Blazers,4329360
29,LaMarcus Aldridge,2008-09,Portland Trail Blazers,4631400
30,LaMarcus Aldridge,2009-10,Portland Trail Blazers,5844827
31,LaMarcus Aldridge,2010-11,Portland Trail Blazers,11244000
32,LaMarcus Aldridge,2011-12,Portland Trail Blazers,12372000
33,LaMarcus Aldridge,2012-13,Portland Trail Blazers,13500000
34,LaMarcus Aldridge,2013-14,Portland Trail Blazers,14128000
35,LaMarcus Aldridge,2014-15,Portland Trail Blazers,16006000
36,LaMarcus Aldridge,2015-16,San Antonio Spurs,19500000
37,LaMarcus Aldridge,2016-17,San Antonio Spurs,20575005
38,LaMarcus Aldridge,2017-18,San Antonio Spurs,21461010
39,LaMarcus Aldridge,2018-19,San Antonio Spurs,22347015
40,LaMarcus Aldridge,2019-20,San Antonio Spurs,26000000
41,LaMarcus Aldridge,2020-21,San Antonio Spurs,16750000
42,LaMarcus Aldridge,2020-21,Brooklyn Nets,878340
43,Nickeil Alexander-Walker,2019-20,New Orleans Pelicans,2964840
44,Nickeil Alexander-Walker,2020-21,New Orleans Pelicans,3113160
45,Grayson Allen,2018-19,Utah Jazz,2074320
46,Grayson Allen,2019-20,Memphis Grizzlies,2429400
47,Grayson Allen,2020-21,Memphis Grizzlies,2545320
48,Jarrett Allen,2017-18,Brooklyn Nets,1713720
49,Jarrett Allen,2018-19,Brooklyn Nets,2034120
50,Jarrett Allen,2019-20,Brooklyn Nets,2376840
51,Jarrett Allen,2020-21,Cleveland Cavaliers,3909902
52,Al-Farouq Aminu,2010-11,Los Angeles Clippers,2563320
53,Al-Farouq Aminu,2011-12,New Orleans Hornets,2755560
54,Al-Farouq Aminu,2012-13,New Orleans Hornets,2947800
55,Al-Farouq Aminu,2013-14,New Orleans Pelicans,3700000
56,Al-Farouq Aminu,2014-15,Dallas Mavericks,981084
57,Al-Farouq Aminu,2015-16,Portland Trail Blazers,7500000
58,Al-Farouq Aminu,2016-17,Portland Trail Blazers,7680965
59,Al-Farouq Aminu,2017-18,Portland Trail Blazers,7319035
60,Al-Farouq Aminu,2018-19,Portland Trail Blazers,6957105
61,Al-Farouq Aminu,2019-20,Orlando Magic,9258000
62,Al-Farouq Aminu,2020-21,Chicago Bulls,9720900
63,Justin Anderson,2015-16,Dallas Mavericks,1449000
64,Justin Anderson,2016-17,Philadelphia 76ers,1514160
65,Justin Anderson,2017-18,Philadelphia 76ers,1579440
66,Justin Anderson,2018-19,Atlanta Hawks,2516048
67,Justin Anderson,2019-20,Brooklyn Nets,294432
68,Justin Anderson,2020-21,Philadelphia 76ers,125000
69,Kyle Anderson,2014-15,San Antonio Spurs,1093680
70,Kyle Anderson,2015-16,San Antonio Spurs,1142879
71,Kyle Anderson,2016-17,San Antonio Spurs,1192080
72,Kyle Anderson,2017-18,San Antonio Spurs,2151704
73,Kyle Anderson,2018-19,Memphis Grizzlies,8641000
74,Kyle Anderson,2019-20,Memphis Grizzlies,9073050
75,Kyle Anderson,2020-21,Memphis Grizzlies,9505100
76,Ryan Anderson,2008-09,New Jersey Nets,1225200
77,Ryan Anderson,2009-10,Orlando Magic,1317120
78,Ryan Anderson,2010-11,Orlando Magic,1409040
79,Ryan Anderson,2011-12,Orlando Magic,2244601
80,Ryan Anderson,2012-13,New Orleans Hornets,8700000
81,Ryan Anderson,2013-14,New Orleans Pelicans,8308500
82,Ryan Anderson,2014-15,New Orleans Pelicans,8491500
83,Ryan Anderson,2015-16,New Orleans Pelicans,8500000
84,Ryan Anderson,2016-17,Houston Rockets,18735364
85,Ryan Anderson,2017-18,Houston Rockets,19578455
86,Ryan Anderson,2018-19,Miami Heat,20421546
87,Ryan Anderson,2019-20,Miami Heat,5214583
88,Ryan Anderson,2019-20,Houston Rockets,500000
89,Ryan Anderson,2020-21,Miami Heat,5214583
90,Ike Anigbogu,2017-18,Indiana Pacers,950000
91,Ike Anigbogu,2018-19,Indiana Pacers,1378242
92,Giannis Antetokounmpo,2013-14,Milwaukee Bucks,1792560
93,Giannis Antetokounmpo,2014-15,Milwaukee Bucks,1873200
94,Giannis Antetokounmpo,2015-16,Milwaukee Bucks,1953960
95,Giannis Antetokounmpo,2016-17,Milwaukee Bucks,2995421
96,Giannis Antetokounmpo,2017-18,Milwaukee Bucks,22471910
97,Giannis Antetokounmpo,2018-19,Milwaukee Bucks,24157304
98,Giannis Antetokounmpo,2019-20,Milwaukee Bucks,25842697
99,Giannis Antetokounmpo,2020-21,Milwaukee Bucks,27528088
100,Thanasis Antetokounmpo,2015-16,New York Knicks,105888
101,Thanasis Antetokounmpo,2019-20,Milwaukee Bucks,1445697
102,Thanasis Antetokounmpo,2020-21,Milwaukee Bucks,1701593
103,Carmelo Anthony,2003-04,Denver Nuggets,3229200
104,Carmelo Anthony,2004-05,Denver Nuggets,3471360
105,Carmelo Anthony,2005-06,Denver Nuggets,3713640
106,Carmelo Anthony,2006-07,Denver Nuggets,4694041
107,Carmelo Anthony,2007-08,Denver Nuggets,13041250
108,Carmelo Anthony,2008-09,Denver Nuggets,14410581
109,Carmelo Anthony,2009-10,Denver Nuggets,15779912
110,Carmelo Anthony,2010-11,New York Knicks,17149243
111,Carmelo Anthony,2011-12,New York Knicks,18518574
112,Carmelo Anthony,2012-13,New York Knicks,19450000
113,Carmelo Anthony,2013-14,New York Knicks,22407474
114,Carmelo Anthony,2014-15,New York Knicks,22458000
115,Carmelo Anthony,2015-16,New York Knicks,22875000
116,Carmelo Anthony,2016-17,New York Knicks,24559380
117,Carmelo Anthony,2017-18,Oklahoma City Thunder,26243760
118,Carmelo Anthony,2018-19,Atlanta Hawks,25534253
119,Carmelo Anthony,2018-19,Chicago Bulls,2393887
120,Carmelo Anthony,2019-20,Portland Trail Blazers,2159029
121,Carmelo Anthony,2020-21,Portland Trail Blazers,2564753
122,Cole Anthony,2020-21,Orlando Magic,3285120
123,OG Anunoby,2017-18,Toronto Raptors,1645200
124,OG Anunoby,2018-19,Toronto Raptors,1952760
125,OG Anunoby,2019-20,Toronto Raptors,2281800
126,OG Anunoby,2020-21,Toronto Raptors,3872215
127,Trevor Ariza,2004-05,New York Knicks,385277
128,Trevor Ariza,2005-06,New York Knicks,682051
129,Trevor Ariza,2006-07,Orlando Magic,3100000
130,Trevor Ariza,2007-08,Los Angeles Lakers,3100000
131,Trevor Ariza,2008-09,Los Angeles Lakers,3100000
132,Trevor Ariza,2009-10,Houston Rockets,5854000
133,Trevor Ariza,2010-11,New Orleans Hornets,6322320
134,Trevor Ariza,2011-12,New Orleans Hornets,6790640
135,Trevor Ariza,2012-13,Washington Wizards,7258960
136,Trevor Ariza,2013-14,Washington Wizards,7727280
137,Trevor Ariza,2014-15,Houston Rockets,8579089
138,Trevor Ariza,2015-16,Houston Rockets,8193030
139,Trevor Ariza,2016-17,Houston Rockets,7806971
140,Trevor Ariza,2017-18,Houston Rockets,7420912
141,Trevor Ariza,2018-19,Washington Wizards,15000000
142,Trevor Ariza,2019-20,Portland Trail Blazers,12200000
143,Trevor Ariza,2020-21,Miami Heat,12800000
144,D.J. Augustin,2008-09,Charlotte Bobcats,2208960
145,D.J. Augustin,2009-10,Charlotte Bobcats,2385480
146,D.J. Augustin,2010-11,Charlotte Bobcats,2540400
147,D.J. Augustin,2011-12,Charlotte Bobcats,3236470
148,D.J. Augustin,2012-13,Indiana Pacers,3500000
149,D.J. Augustin,2013-14,Toronto Raptors,1267000
150,D.J. Augustin,2014-15,Oklahoma City Thunder,3000000
151,D.J. Augustin,2015-16,Denver Nuggets,3000000
152,D.J. Augustin,2016-17,Orlando Magic,7250000
153,D.J. Augustin,2017-18,Orlando Magic,7250000
154,D.J. Augustin,2018-19,Orlando Magic,7250000
155,D.J. Augustin,2019-20,Orlando Magic,7250000
156,D.J. Augustin,2020-21,Houston Rockets,6666667
157,Deni Avdija,2020-21,Washington Wizards,4469160
158,Deandre Ayton,2018-19,Phoenix Suns,8165160
159,Deandre Ayton,2019-20,Phoenix Suns,9562920
160,Deandre Ayton,2020-21,Phoenix Suns,10018200
161,Udoka Azubuike,2020-21,Utah Jazz,1977000
162,Alaa Abdelnaby,1990-91,Portland Trail Blazers,395000
163,Alaa Abdelnaby,1991-92,Portland Trail Blazers,494000
164,Alaa Abdelnaby,1992-93,Boston Celtics,500000
165,Alaa Abdelnaby,1993-94,Boston Celtics,805000
166,Alaa Abdelnaby,1994-95,Sacramento Kings,650000
167,Kareem Abdul-Jabbar,1984-85,Los Angeles Lakers,1530000
168,Kareem Abdul-Jabbar,1985-86,Los Angeles Lakers,2030000
169,Kareem Abdul-Jabbar,1987-88,Los Angeles Lakers,2000000
